   Data source: Cometa - EmgTools - 2.1.4 - Files: 0956~... - collection; EMG filter: 0 - 500 Hz     - 
Time(s)  ; L.RecFem(uV) ; L.VasLat(uV) ; L.VasMedO(uV) ; L.VasMedV(uV) 
  0.0000;  15.8391;  15.1031;   8.5500;  29.1058;
  0.0010;  21.3969;  14.4537;  10.5355;  32.3538;
  0.0020;  20.0526;  15.6841;  10.5912;  32.4376;
  0.0030;  19.1587;  16.4353;  10.4957;  32.8326;
  0.0040;  19.8692;  17.0319;   9.2040;  33.6000;
  0.0050;  20.1836;  19.5226;   8.8418;  33.5757;
  0.0060;  22.5552;  20.5936;  11.7455;  33.7778;
  0.0070;  21.3851;  19.5742;  11.3207;  33.7927;
  0.0080;  18.7611;  17.7330;   8.4628;  34.0077;
  0.0090;  20.2546;  16.7611;   8.5118;  34.0699;
  0.0100;  20.9068;  18.9197;   8.8736;  33.4055;
  0.0110;  21.1960;  18.2971;   9.4980;  33.5543;
  0.0120;  21.8741;  16.2408;   9.6468;  33.3779;
  0.0130;  21.0650;  18.1668;   9.3677;  32.7212;
  0.0140;  21.1177;  17.8670;   9.9708;  32.8825;
  0.0150;  21.9759;  16.7554;   7.8951;  32.2497;
  0.0160;  22.2503;  17.5737;   7.3980;  32.4208;
  0.0170;  20.5057;  17.1467;   9.3928;  33.7749;
  0.0180;  18.5096;  17.2578;   8.1399;  33.1939;
  0.0190;  19.1396;  16.0017;   8.4785;  32.9844;
  0.0200;  19.1996;  15.4314;   9.9968;  33.9249;
  0.0210;  17.0876;  17.6609;   8.3360;  32.8697;
  0.0220;  16.1199;  16.2738;   7.7499;  31.5726;
  0.0230;  17.6862;  15.3561;   8.2553;  32.2902;
  0.0240;  18.2915;  18.1874;   7.2693;  32.8365;
  0.0250;  17.2006;  17.7251;   6.5976;  32.3485;
  0.0260;  17.0743;  16.2001;   6.7644;  32.6462;
  0.0270;  17.1894;  19.0286;   6.4852;  32.8700;
  0.0280;  18.0106;  20.2514;   7.5755;  32.4091;
  0.0290;  18.1945;  16.4069;   8.8242;  32.3754;
  0.0300;  16.5080;  15.1175;   7.3610;  31.9303;
  0.0310;  15.3884;  17.2169;   8.2109;  33.2170;
  0.0320;  14.4031;  18.6738;   9.9332;  36.5918;
  0.0330;  14.9873;  19.2095;   8.8518;  37.0147;
  0.0340;  14.5916;  16.3638;   9.6665;  35.4692;
  0.0350;  11.7007;  14.0040;   9.3365;  34.6292;
  0.0360;  12.8293;  14.6510;   7.3090;  33.9313;
  0.0370;  14.6470;  14.4416;   7.9237;  34.3870;
  0.0380;  15.1078;  15.4448;   8.8236;  34.7147;
  0.0390;  16.5807;  16.3626;  10.3184;  33.8481;
  0.0400;  15.5907;  15.9484;  10.0918;  33.6486;
  0.0410;  15.0000;  15.8774;   7.5305;  33.7637;
  0.0420;  15.5389;  14.7942;   7.5877;  33.5899;
  0.0430;  14.7516;  15.1006;   8.1703;  33.9196;
  0.0440;  14.9222;  16.0056;   8.4667;  33.9557;
  0.0450;  15.3030;  17.2193;   8.6904;  32.8226;
  0.0460;  15.0929;  20.6690;   7.6262;  31.9210;
  0.0470;  14.7544;  22.5325;   7.2131;  31.8294;
  0.0480;  15.3896;  22.4175;   6.9569;  32.1130;
  0.0490;  16.5150;  21.2287;   7.5176;  32.4620;
  0.0500;  15.6850;  21.2149;   7.6802;  31.1065;
  0.0510;  15.3037;  21.7988;   5.8825;  29.5111;
  0.0520;  16.4915;  19.0452;   6.2636;  29.5389;
  0.0530;  15.8971;  18.9258;   6.6449;  29.2344;
  0.0540;  12.9320;  17.9456;   5.4529;  29.1182;
  0.0550;  12.8003;  11.5459;   6.5168;  28.5443;
  0.0560;  16.1345;  10.2216;   7.5865;  28.4705;
  0.0570;  17.1539;  12.3705;   7.7582;  31.6854;
  0.0580;  17.5462;  13.7240;   8.5063;  31.7181;
  0.0590;  17.4502;  15.4706;   8.7219;  28.9547;
  0.0600;  15.9848;  14.7171;   8.9006;  30.0373;
  0.0610;  16.5146;  13.7960;   8.6674;  30.3249;
  0.0620;  14.9753;  13.5357;   7.8817;  30.0416;
  0.0630;  13.5121;  13.2822;   8.3690;  31.4899;
  0.0640;  15.5438;  14.7165;   9.4115;  30.4410;
  0.0650;  15.7825;  16.9112;   9.4967;  30.1669;
  0.0660;  15.2203;  17.4462;   8.6278;  31.7746;
  0.0670;  14.0306;  15.3403;   7.6079;  31.0502;
  0.0680;  13.5831;  15.0792;   7.4208;  29.9116;
  0.0690;  15.9221;  15.1017;   7.6689;  30.5266;
  0.0700;  16.3168;  13.6364;   7.9934;  31.6462;
  0.0710;  16.7121;  15.5023;   8.2524;  31.4195;
  0.0720;  17.6302;  15.4772;   7.8388;  31.2438;
  0.0730;  15.5724;  13.8356;   7.2749;  31.6066;
  0.0740;  13.7653;  14.8265;   6.4217;  29.6647;
  0.0750;  14.0120;  14.1595;   5.9408;  28.6435;
  0.0760;  14.4582;  14.1982;   6.8641;  29.5785;
  0.0770;  13.8681;  14.9052;   7.2230;  29.0412;
  0.0780;  14.2658;  15.3839;   7.5823;  29.2184;
  0.0790;  15.7970;  16.4430;   7.9873;  29.8955;
  0.0800;  15.8372;  15.0483;   7.2513;  29.9171;
  0.0810;  16.7300;  16.3543;   9.0600;  30.5261;
  0.0820;  17.5540;  18.4510;  10.3167;  30.6870;
  0.0830;  15.6623;  16.6234;   7.6321;  30.5072;
  0.0840;  15.5689;  17.1799;   7.8020;  29.5176;
  0.0850;  17.7925;  18.8047;   9.7119;  29.1292;
  0.0860;  17.0918;  19.4921;   9.6405;  30.3106;
  0.0870;  14.2577;  19.2424;   9.6373;  30.0793;
  0.0880;  13.2039;  16.9833;   8.5517;  31.0316;
  0.0890;  13.4775;  16.7008;   8.9058;  32.7072;
  0.0900;  13.6776;  15.8418;  10.0775;  31.7064;
  0.0910;  12.7798;  14.4206;   7.5265;  31.3545;
  0.0920;  12.2554;  16.5020;   6.8910;  31.1544;
  0.0930;  13.7061;  16.7154;   8.4837;  31.2017;
  0.0940;  14.1079;  16.1268;   8.0891;  32.5163;
  0.0950;  14.4941;  18.2645;   8.4365;  31.9062;
  0.0960;  15.5793;  17.0609;   8.6312;  31.3899;
  0.0970;  15.9138;  14.3963;   9.5498;  30.6563;
  0.0980;  15.6513;  14.9308;  10.3954;  29.6401;
  0.0990;  13.4558;  14.9648;   7.8769;  31.6577;
  0.1000;  16.2933;  17.2581;   9.0953;  30.2391;
  0.1010;  20.1854;  20.8448;  11.5604;  26.1779;
  0.1020;  15.1121;  16.9687;   8.3748;  28.5188;
  0.1030;  14.7133;  14.7723;   6.5877;  31.8002;
  0.1040;  17.9047;  24.6623;   7.3727;  31.1040;
  0.1050;  14.6286;  38.3811;   8.3521;  31.4428;
  0.1060;  14.6034;  44.8409;   8.8779;  32.4530;
  0.1070;  16.0886;  40.2019;   6.9179;  31.6008;
  0.1080;  14.8778;  31.1480;   6.7856;  31.3617;
  0.1090;  14.8321;  21.1552;   8.1581;  32.4536;
  0.1100;  15.2300;   9.2169;   7.9043;  32.3024;
  0.1110;  15.1048;   1.8453;   7.5046;  30.5001;
  0.1120;  13.5943;  -3.8251;   7.0861;  29.0840;
  0.1130;  13.9598; -12.4817;   6.8764;  29.2763;
  0.1140;  15.2119; -14.5965;   6.0855;  29.2359;
  0.1150;  14.6556;  -6.9663;   7.0484;  28.3807;
  0.1160;  14.5568;   1.8412;   8.5317;  29.0763;
  0.1170;  12.8025;   7.1819;   6.1161;  29.6455;
  0.1180;  12.7384;  11.1609;   6.1366;  28.8504;
  0.1190;  14.5150;  13.3686;   7.5161;  29.0253;
  0.1200;  13.7167;  13.8596;   6.7146;  28.9212;
  0.1210;  14.0764;  15.2142;   7.7706;  28.6436;
  0.1220;  14.2349;  16.0995;   7.2092;  29.6341;
  0.1230;  14.3482;  16.5477;   7.4670;  29.3036;
  0.1240;  14.8188;  15.7350;   9.3932;  28.3702;
  0.1250;  13.0048;  14.4291;   7.4278;  28.8158;
  0.1260;  13.4104;  15.8448;   7.0632;  28.9973;
  0.1270;  14.3886;  16.7102;   8.0427;  29.5054;
  0.1280;  14.2122;  17.4919;   7.6540;  30.6274;
  0.1290;  15.0900;  17.7603;   8.8173;  30.5760;
  0.1300;  14.8245;  16.4938;   9.3560;  30.3554;
  0.1310;  14.6507;  18.2584;   9.7865;  30.7231;
  0.1320;  15.6039;  18.7129;  10.8559;  31.1820;
  0.1330;  16.6252;  17.4760;  10.7631;  31.5860;
  0.1340;  15.9380;  17.1536;   9.5645;  31.0654;
  0.1350;  15.2741;  15.0488;   8.5705;  30.9456;
  0.1360;  16.5815;  14.7631;   9.1448;  31.8445;
  0.1370;  15.5744;  14.9807;   9.4539;  31.1551;
  0.1380;  16.0113;  15.4114;  10.0089;  29.7933;
  0.1390;  17.4723;  17.4971;  10.0671;  30.2840;
  0.1400;  15.6544;  16.8493;   8.7151;  31.1366;
  0.1410;  16.1365;  15.2998;   9.7720;  30.9065;
  0.1420;  14.9172;  13.3652;  10.1259;  30.9464;
  0.1430;  12.2832;  13.2013;   8.6843;  30.6329;
  0.1440;  12.8979;  14.1308;   8.1364;  29.3838;
  0.1450;  12.1175;  12.1439;   7.3178;  29.8092;
  0.1460;  13.1722;  13.3530;   7.2998;  29.3657;
  0.1470;  13.5048;  12.8082;   6.0312;  28.1357;
  0.1480;  12.5591;  11.3351;   6.2701;  31.6905;
  0.1490;  16.7149;  17.0276;  10.1078;  32.8280;
  0.1500;  16.7735;  17.2304;   9.2636;  28.8594;
  0.1510;  13.3895;  12.6804;   6.6956;  29.8356;
  0.1520;  14.0010;  12.7913;   7.0314;  32.1748;
  0.1530;  14.9057;  15.6617;   7.6123;  31.0840;
  0.1540;  15.5818;  19.4783;   8.2419;  31.6000;
  0.1550;  14.0898;  18.1805;   6.6712;  32.5259;
  0.1560;  12.6294;  15.6891;   5.3942;  31.5049;
  0.1570;  13.7164;  16.0679;   5.9951;  30.7344;
  0.1580;  12.5408;  14.8440;   5.7675;  31.3758;
  0.1590;  12.3543;  14.6669;   6.2413;  32.0978;
  0.1600;  13.5421;  14.4529;   6.1377;  31.8892;
  0.1610;  13.0780;  14.5817;   5.9851;  31.7451;
  0.1620;  13.3998;  15.3338;   6.4248;  31.5725;
  0.1630;  12.8977;  13.9079;   5.3821;  31.1152;
  0.1640;  12.8975;  14.5758;   6.3609;  31.1874;
  0.1650;  13.8486;  15.2412;   9.9139;  32.1361;
  0.1660;  12.6133;  14.8154;  13.7331;  32.7215;
  0.1670;  12.4828;  15.0506;  14.6489;  31.9502;
  0.1680;  12.9693;  13.5495;  10.1776;  32.0354;
  0.1690;  12.5006;  13.6471;   4.9357;  32.2135;
  0.1700;  12.8292;  13.4842;  -0.6840;  30.4871;
  0.1710;  13.1773;  11.6656;  -4.2048;  29.4543;
  0.1720;  15.0756;  12.2639;   0.0569;  29.9875;
  0.1730;  15.2225;  12.2756;   4.2672;  31.2306;
  0.1740;  11.9136;  11.9935;   4.7276;  31.7613;
  0.1750;  12.2800;  13.6998;   5.6225;  31.2510;
  0.1760;  13.9327;  15.6458;   5.8183;  31.6887;
  0.1770;  13.3385;  16.5933;   6.3053;  31.4209;
  0.1780;  13.0815;  15.0256;   6.4757;  31.0370;
  0.1790;  12.7486;  12.9309;   5.9839;  31.9064;
  0.1800;  12.7085;  12.9751;   6.8912;  30.6505;
  0.1810;  12.1102;  13.7809;   6.2926;  29.6953;
  0.1820;  12.8400;  14.4233;   5.9444;  31.4968;
  0.1830;  14.2432;  15.2032;   6.8778;  31.8087;
  0.1840;  12.3818;  16.6247;   6.4123;  30.8607;
  0.1850;  14.5760;  20.2914;   8.0621;  31.7553;
  0.1860;  17.9705;  21.8165;   8.7896;  31.9639;
  0.1870;  15.3602;  16.5743;   5.9420;  29.9721;
  0.1880;  14.5716;  14.3568;   5.4449;  30.2015;
  0.1890;  14.8171;  18.0414;   5.9260;  31.8433;
  0.1900;  14.0671;  19.3088;   5.7845;  31.5994;
  0.1910;  14.2669;  19.6298;   6.3561;  31.5901;
  0.1920;  13.4588;  18.8311;   6.5246;  30.9255;
  0.1930;  14.8172;  17.4726;   7.0688;  30.7147;
  0.1940;  15.6819;  18.1696;   7.6694;  32.8166;
  0.1950;  14.7499;  16.5402;   8.4790;  32.7979;
  0.1960;  15.4909;  15.1119;   8.6646;  31.7201;
  0.1970;  15.3650;  14.8775;   7.4455;  30.8994;
  0.1980;  15.8564;  12.4426;   7.9574;  30.6532;
  0.1990;  16.1537;   9.9818;   9.3692;  33.2084;
  0.2000;  16.2464;  10.2177;  11.0417;  31.1415;
  0.2010;  17.0469;  15.3678;  12.5745;  26.7666;
  0.2020;  14.5686;  18.2378;  11.6310;  30.3970;
  0.2030;  14.7002;  15.5088;  10.8360;  33.8635;
  0.2040;  15.5221;  15.4020;  10.5909;  33.1857;
  0.2050;  12.0473;  16.3224;  10.4218;  33.8460;
  0.2060;  12.1356;  16.2060;  11.0659;  33.5942;
  0.2070;  12.7526;  16.1131;  10.8501;  33.8194;
  0.2080;  12.9154;  15.4843;  10.9908;  34.5050;
  0.2090;  14.9908;  16.3280;  10.7330;  32.5083;
  0.2100;  13.2744;  16.6622;   9.7613;  32.4555;
  0.2110;  12.7944;  16.7914;  10.3337;  32.9564;
  0.2120;  15.3975;  17.5321;  10.4218;  29.6418;
  0.2130;  15.7552;  17.0062;   9.3883;  28.5295;
  0.2140;  15.0487;  16.0590;   7.9121;  31.3380;
  0.2150;  14.9843;  15.0325;   7.1530;  32.0558;
  0.2160;  16.2080;  16.4834;   7.6925;  31.0981;
  0.2170;  15.5123;  18.5684;   6.8438;  31.7930;
  0.2180;  14.3596;  17.8933;   6.2097;  32.2261;
  0.2190;  16.1340;  16.5229;   7.4022;  31.7292;
  0.2200;  15.7237;  15.2096;   7.9964;  32.4358;
  0.2210;  15.5683;  21.8986;   8.0721;  33.0581;
  0.2220;  17.5280;  37.7044;   9.0801;  32.3354;
  0.2230;  16.3002;  45.8243;   9.0714;  31.3835;
  0.2240;  15.1145;  41.5600;   7.3608;  30.7090;
  0.2250;  15.7751;  34.5831;   8.8143;  30.9146;
  0.2260;  16.2731;  26.0936;  10.1112;  31.7691;
  0.2270;  16.6621;  13.7552;   7.7871;  32.0556;
  0.2280;  14.5932;   5.2369;   8.7456;  31.9023;
  0.2290;  12.6224;  -0.2855;   9.4647;  31.8068;
  0.2300;  13.6468; -10.6644;   7.0570;  31.3849;
  0.2310;  13.1958; -14.5257;   6.2864;  30.8727;
  0.2320;  12.9371;  -7.0251;   6.1459;  30.6899;
  0.2330;  15.0642;   1.0104;   8.3123;  30.1992;
  0.2340;  13.6151;   7.5724;   8.7191;  30.1214;
